	HC	wG	D5G	D1G	D4D5G	DG	Phase	X	Y
4082	0.423160754	36.3723	0.544719803	1.530758445	0.626770384	2.062759498	6	21.389551	-33.7971
4083	0.347055449	36.2051	0.458471724	1.596504444	0.532001053	2.254915741	6	22.646374	-33.7971
4084	0.453678257	36.5191	0.579304461	1.4239127	0.658411297	2.06526103	6	23.903194	-33.7971
4085	0.435962087	36.3199	0.559227206	1.488136384	0.64134833	2.185042701	6	25.160017	-33.7971
4086	0.473834303	36.0517	0.602146762	1.481286558	0.696906317	2.131643154	6	26.41684	-33.7971
4087	0.446033309	35.834	0.570640649	1.581919968	0.650356596	2.214849703	6	27.67366	-33.7971
4088	0.439388577	36.6799	0.563110354	1.49304475	0.632929734	2.107927084	6	28.930483	-33.7971
4089	0.414523658	35.8472	0.534931616	1.546283645	0.614882334	2.145417685	6	30.187304	-33.7971
4090	0.402307528	35.4245	0.521087407	1.613947571	0.59913404	2.082736516	6	31.444126	-33.7971
4091	0.292050702	35.7434	0.396136335	1.866367905	0.468788945	2.480834015	6	32.700947	-33.7971
4092	0.402060151	36.0165	0.520807062	1.543078382	0.61446611	1.991876596	6	33.957771	-33.7971
4093	0.335635905	35.7883	0.445530264	1.958668754	0.448798214	2.612430463	4	35.214592	-33.7971
4094	0.449555673	36.5312	0.574632449	1.460486599	0.65376171	2.107462244	6	36.471413	-33.7971
4095	0.439917462	36.903	0.563709726	1.594858397	0.646975645	1.594858397	4	37.728237	-33.7971
4096	0.337320799	50.7167	0.447439709	1.476984132	0.487404877	2.027712531	4	-42.708363	-35.0538
